8755,16,74,391,25,63,0,205,80,24,88,32,22,46,48,12,6,61,7,12,38,60,21,20,58
1,4146,0,7,0,3,0,0,1,0,5,29,25,2,7,0,0,0,0,25,1,1,0,0,2
2,0,27,1,1,1,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
337,29,46,3191,46,89,0,37,55,9,169,66,15,28,56,17,23,141,47,22,104,80,51,36,113
4,3,7,8,79,9,0,0,2,2,4,16,0,1,1,0,2,4,8,0,1,2,3,0,2
0,1,0,0,1,952,0,0,0,1,2,13,0,4,0,0,6,0,0,3,2,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,4,2,52,4,37,0,9367,72,24,47,27,49,13,56,14,30,23,4,52,3,18,2,6,21
51,2,39,59,5,9,0,50,3440,52,36,30,5,7,22,10,8,11,3,4,4,9,18,0,7
36,1,0,6,0,4,0,5,68,2823,6,12,24,2,29,2,0,2,1,9,0,8,0,0,3
3,1,0,2,2,6,0,4,2,1,592,2,0,2,0,0,0,0,2,3,4,8,1,2,5
2,52,0,0,1,3,0,0,0,8,11,4155,8,0,2,43,0,0,0,3,0,0,1,0,2
4,13,1,5,0,1,0,20,3,70,2,3,5684,4,58,0,1,3,22,33,0,1,3,1,11
0,0,0,1,0,0,0,0,0,0,0,0,0,1248,0,0,0,0,0,2,0,1,0,0,0
1,0,0,0,0,0,0,0,0,3,0,0,25,1,245,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,51,0,0,0,5,1,0,0,0,0,0,0,0,0,1629,0,2,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4311,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,3,1,4886,1,2,0,73,15
1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2909,0,0,0,2
0,0,0,2,0,1,0,1,0,0,1,0,0,2,0,0,0,2,1,1,4,446,0,3,12
17,1,11,29,13,14,0,1,6,10,22,21,2,7,13,2,5,24,3,0,32,17,1063,3,28
6,1,0,9,0,4,0,0,0,0,7,1,2,0,9,0,2,4,3,97,28,28,0,6835,65
19,2,0,25,1,5,0,3,5,1,27,3,8,0,5,1,2,21,4,2,32,23,1,53,427
